iter	Passed	Remaining
292	571	1378
293	572	1375
294	574	1373
295	576	1371
296	578	1368
297	579	1366
298	581	1363
299	584	1362
300	585	1360
301	587	1358
302	589	1355
303	590	1352
304	592	1349
305	593	1346
306	594	1342
307	596	1339
308	598	1337
309	599	1335
310	601	1332
311	602	1329
312	603	1325
313	605	1322
314	606	1319
315	608	1316
316	609	1314
317	611	1312
318	613	1309
319	614	1306
320	615	1302
321	617	1299
322	618	1295
323	619	1291
324	620	1288
325	621	1284
326	622	1280
327	623	1277
328	625	1275
329	626	1272
330	628	1270
331	629	1266
332	630	1262
333	631	1259
334	633	1256
335	634	1253
336	635	1249
337	636	1246
338	637	1243
339	638	1239
340	640	1237
341	641	1234
342	642	1230
343	643	1227
344	645	1224
345	646	1221
346	647	1217
347	648	1214
348	649	1210
349	650	1207
350	651	1204
351	652	1200
352	653	1197
353	655	1195
354	656	1193
355	657	1189
356	658	1186
357	660	1183
358	661	1180
359	662	1177
360	663	1174
361	664	1171
362	665	1167
363	666	1164
364	667	1161
365	669	1159
366	670	1156
367	672	1154
368	673	1151
369	674	1148
370	675	1145
371	677	1143
372	678	1140
373	679	1137
374	680	1134
375	681	1130
376	682	1127
377	683	1125
378	685	1122
379	686	1120
380	688	1117
381	689	1115
382	690	1112
383	691	1109
384	692	1106
385	693	1103
386	694	1100
387	695	1097
388	696	1094
389	698	1092
390	700	1090
391	701	1087
392	702	1085
393	703	1082
394	704	1079
395	705	1076
396	706	1073
397	708	1070
398	709	1068
399	710	1065
400	711	1062
401	713	1060
402	714	1058
403	715	1056
404	717	1053
405	718	1050
406	719	1047
407	720	1044
408	721	1042
409	722	1039
410	723	1036
411	724	1034
412	725	1031
413	726	1028
414	728	1026
415	729	1024
416	730	1021
417	731	1019
418	733	1016
419	734	1013
420	735	1011
421	736	1008
422	737	1005
423	738	1003
424	739	1000
425	740	998
426	743	997
427	745	996
428	746	993
429	747	991
430	748	988
431	750	986
432	751	983
433	752	981
434	753	979
435	755	976
436	756	974
437	759	974
438	761	972
439	762	970
440	764	969
441	766	967
442	767	965
443	769	963
444	770	960
445	772	959
446	774	957
447	775	955
448	777	953
449	778	951
450	779	948
451	780	946
452	781	943
453	782	941
454	783	938
455	785	936
456	786	934
457	788	933
458	789	930
459	790	928
